Saturday,10/24/2015,9:30 AM,10:45 AM,Coliseum,Game,Tiering,RichmondGirls Peewee C2,AbbotsfordFemale Peewee C1,PQ9704
Saturday,10/24/2015,1:15 PM,2:30 PM,Pond,Game,Tiering,RichmondGirls Peewee C1,SouthDeltaFemale Peewee C1,PQ9304
Sunday,10/25/2015,2:30 PM,4:00 PM,SurreyLeisure2,Game,Tiering,SurreyFemale Midget C2,RichmondGirls Midget C2,MQ9722
Tuesday,10/27/2015,7:15 PM,8:30 PM,LangleySportsplex1,Game,Tiering,LangleyGirls Peewee A1,RichmondGirls Peewee A1,PQ9015
Tuesday,10/27/2015,8:45 PM,10:15 PM,AbbotsfordCentreIceBlue,Game,Tiering,AbbotsfordFemale Midget C1,RichmondGirls Midget C1,MQ9331
Wednesday,10/28/2015,6:30 PM,7:45 PM,Coliseum,Game,Tiering,RichmondGirls Atom C3,SurreyFemale Atom C2,AQ9411
Thursday,10/29/2015,6:30 PM,8:00 PM,Garage,Game,Tiering,RichmondGirls Midget C1,MeadowRidgeFemale Midget C1,MQ9332
Thursday,10/29/2015,7:30 PM,8:45 PM,SurreyLeisure1,Game,Tiering,SurreyFemale Bantam A1,RichmondGirls Bantam A1,BQ9015
Friday,10/30/2015,6:15 PM,7:30 PM,Igloo,Game,Tiering,RichmondGirls Atom C1,MeadowRidgeFemale Atom C1,AQ9010
Friday,10/30/2015,7:15 PM,8:30 PM,CoquitlamMain,Game,Tiering,TriCitiesFemale Peewee A1,RichmondGirls Peewee A1,PQ9009
Friday,10/30/2015,7:45 PM,9:15 PM,Igloo,Game,Tiering,RichmondGirls Bantam C1,LangleyGirls Bantam C1,BQ9322
Friday,10/30/2015,8:30 PM,10:00 PM,Silver,Game,Tiering,RichmondGirls Midget A1,AbbotsfordFemale Midget A1,MQ9018
Saturday,10/31/2015,9:30 AM,10:45 AM,Coliseum,Game,Tiering,RichmondGirls Midget C2,SouthDeltaFemale Midget C1,MQ9723
Saturday,10/31/2015,11:15 AM,12:30 PM,IceSportsNorthShoreGreen,Game,Tiering,NorthShoreFemale Atom C2,RichmondGirls Atom C2,AQ9207
Saturday,10/31/2015,1:15 PM,2:30 PM,Pond,Game,Tiering,RichmondGirls Peewee C2,SurreyFemale Peewee C1,PQ9731
Sunday,11/1/2015,8:00 AM,9:15 AM,Coliseum,Game,Tiering,RichmondGirls Peewee C1,MeadowRidgeFemale Peewee C1,PQ9324
Sunday,11/1/2015,9:15 AM,10:15 AM,Igloo,Game,Tiering,RichmondGirls Atom C2,NorthShoreFemale Atom C2,AQ9201
Sunday,11/1/2015,11:15 AM,12:30 PM,PittMeadowsBlue,Game,Tiering,MeadowRidgeFemale Atom C2,RichmondGirls Atom C3,AQ9415
Sunday,11/1/2015,1:00 PM,2:15 PM,IceSportsNorthShoreBlue,Game,Tiering,NorthShoreFemale Bantam C1,RichmondGirls Bantam C1,BQ9325
Sunday,11/1/2015,1:30 PM,3:00 PM,Coliseum,Game,Tiering,RichmondGirls Peewee A1,NorthShoreFemale Peewee A1,PQ9019
Sunday,11/1/2015,3:15 PM,4:45 PM,Coliseum,Game,Tiering,RichmondGirls Bantam A1,AbbotsfordFemale Bantam A1,BQ9019
Sunday,11/1/2015,4:00 PM,5:30 PM,Forum,Game,Tiering,RichmondGirls Midget C2,TriCitiesFemale Midget C2,MQ9727
Sunday,11/1/2015,5:15 PM,6:45 PM,WestVan,Game,Tiering,NorthShoreFemale Midget A1,RichmondGirls Midget A1,MQ9020
Sunday,11/1/2015,5:45 PM,7:00 PM,Forum,Game,Tiering,RichmondGirls Midget C1,NorthShoreWinterClubFemale Midget C1,MQ9322
Monday,1/1/0001,12:00 AM,12:00 AM,Unknown,Game,Tiering,RichmondGirls Bantam C1,NorthShoreFemale Bantam C1,BQ9301
Monday,1/1/0001,12:00 AM,12:00 AM,Unknown,Game,Tiering,BurnabyFemale Bantam C1,RichmondGirls Bantam C1,BQ9313
Monday,1/1/0001,12:00 AM,12:00 AM,Unknown,Game,Tiering,RichmondGirls Midget A1,NorthShoreFemale Midget A1,MQ9003
Monday,1/1/0001,12:00 AM,12:00 AM,Unknown,Game,Tiering,RichmondGirls Midget A1,VancouverGirls Midget A1,MQ9012
Monday,1/1/0001,12:00 AM,12:00 AM,Unknown,Game,Tiering,RichmondGirls Peewee C2,NorthShoreFemale Peewee C2,PQ9722
