Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
PL9740,Sunday,2016-01-31,12:45:00,14:00:00,North Shore Female Peewee C2,Meadow Ridge Female Peewee C2,Ice Sports North Shore 3 Green,Peewee,Red Group,League,North Shore Female,
BL9350,Sunday,2016-01-31,13:00,14:15,North Shore Female Bantam C1,Abbotsford Female Bantam C1,Ice Sports North Shore 2 Blue,Bantam,Black Group,League,North Shore Female,
BL9768,Sunday,2016-01-31,14:30:00,16:00:00,Langley Girls Bantam C1,Western Washington Female Bantam C1,Langley Twin Rinks 2,Bantam,Red Group,League,Langley Girls,
ML9350,Sunday,2016-01-31,14:30:00,16:00:00,Surrey Female Midget C1,Meadow Ridge Female Midget C1,Surrey Sport & Leisure Centre Arena 2 Purple,Midget,Black Group,League,Surrey Female,
ML9750,Sunday,2016-01-31,16:00:00,17:30:00,Richmond Female Midget C2,Western Washington Female Midget C1,Richmond Ice Centre Forum,Midget,Red Group,League,Richmond Female,
AL9018,Sunday,2016-01-31,16:15:00,17:30:00,Surrey Female Atom C1,Tri Cities Female Atom C1,Surrey Sport & Leisure Centre Arena 2 Purple,Atom,Black Group,League,Surrey Female,
PL9557,Sunday,2016-01-31,17:30,18:45,Burnaby Female Peewee C1,Surrey Female Peewee C1,Kensington Arena,Peewee,Blue Group,League,Burnaby,
AL9424,Sunday,2016-01-31,17:45:00,19:00:00,Richmond Female Atom C3,Tri Cities Female Atom C2,Richmond Ice Centre Forum,Atom,Red Group,League,Richmond Female,
PL9350,Sunday,2016-01-31,18:45:00,20:00:00,South Delta Female Peewee C1,North Shore Female Peewee C1,Tilbury Ice,Peewee,Black Group,League,South Delta,
BL9769,Sunday,2016-01-31,19:00:00,20:30:00,Burnaby Female Bantam C1,Tri Cities Female Bantam C2,Kensington Arena,Bantam,Red Group,League,Burnaby,
AL9419,,,,,Abbotsford Female Atom C2,North Shore Female Atom C3,,Atom,Red Group,League,Abbotsford Female,
BL9748,,,,,Burnaby Female Bantam C1,Western Washington Female Bantam C1,,Bantam,Red Group,League,Burnaby,
BL9749,,,,,North Shore Female Bantam C2,Western Washington Female Bantam C1,,Bantam,Red Group,League,North Shore Female,
BL9751,,,,,Western Washington Female Bantam C1,Surrey Female Bantam C1,,Bantam,Red Group,League,Western Washington Female,
BL9758,,,,,Western Washington Female Bantam C1,Tri Cities Female Bantam C2,,Bantam,Red Group,League,Western Washington Female,
BL9765,,,,,Western Washington Female Bantam C1,Burnaby Female Bantam C1,,Bantam,Red Group,League,Western Washington Female,
ML9337,,,,,Abbotsford Female Midget C1,Richmond Female Midget C1,,Midget,Black Group,League,Abbotsford Female,
ML9540,,,,,Surrey Female Midget C2,Langley Girls Midget C1,,Midget,Blue Group,League,Surrey Female,
PL9532,,,,,Richmond Female Peewee C2,Abbotsford Female Peewee C1,,Peewee,Blue Group,League,Richmond Female,
PL9543,,,,,Burnaby Female Peewee C1,Langley Girls Peewee C2,,Peewee,Blue Group,League,Burnaby,
PL9556,,,,,Abbotsford Female Peewee C1,Richmond Female Peewee C2,,Peewee,Blue Group,League,Abbotsford Female,
