Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
PP9704,Sunday,2016-02-07,16:30:00,17:45:00,Tri Cities Female Peewee C2,Vancouver Girls Peewee C2,Planet Ice Coquitlam 3 Venus,Peewee,Red Group,Playoffs C Leagues,Tri Cities Female,
MP9005,Sunday,2016-02-07,17:15:00,18:45:00,North Shore Female Midget A1,Abbotsford Female Midget A1,West Vancouver Ice Arena,Midget,Flight 1,Playoffs Rep,North Shore Female,
BP9001,Sunday,2016-02-07,17:30:00,18:45:00,Vancouver Girls Bantam A1,North Shore Female Bantam A1,Hillcrest Centre Arena,Bantam,Flight 1,Playoffs Rep,Vancouver Girls,
PP9300,Monday,2016-02-08,18:45:00,20:15:00,Meadow Ridge Female Peewee C1,North Shore Winter Club Female Peewee C1,Planet Ice Maple Ridge 1 Cam Neely,Peewee,Black Group,Playoffs C Leagues,Meadow Ridge Female,
AP9202,Monday,2016-02-08,19:00:00,20:15:00,Langley Girls Atom C1,Meadow Ridge Female Atom C1,Langley Twin Rinks 1,Atom,Blue Group,Playoffs C Leagues,Langley Girls,
JP9002,Monday,2016-02-08,19:45:00,21:00:00,Richmond Female Juvenile C1,Abbotsford Female Juvenile C1,Richmond Olympic Oval South,Juvenile,Black Group,Playoffs C Leagues,Richmond Female,
MP9400,Monday,2016-02-08,19:45:00,21:15:00,South Delta Female Midget C1,Richmond Female Midget C1,Tilbury Ice,Midget,Blue Group,Playoffs C Leagues,South Delta,
PP9301,Tuesday,2016-02-09,18:45:00,20:00:00,Tri Cities Female Peewee C1,North Shore Female Peewee C1,Planet Ice Coquitlam 1 Mars,Peewee,Black Group,Playoffs C Leagues,Tri Cities Female,
PP9010,Tuesday,2016-02-09,19:15:00,20:30:00,Langley Girls Peewee A1,Vancouver Girls Peewee A1,Langley Sportsplex 1,Peewee,Flight 1,Playoffs Rep,Langley Girls,
BP9300,Tuesday,2016-02-09,19:45:00,21:00:00,Tri Cities Female Bantam C1,Richmond Female Bantam C1,Port Moody 2,Bantam,Black Group,Playoffs C Leagues,Tri Cities Female,
PP9500,Tuesday,2016-02-09,19:45:00,21:00:00,Vancouver Girls Peewee C1,Surrey Female Peewee C1,Killarney Community Centre,Peewee,Blue Group,Playoffs C Leagues,Vancouver Girls,
PP9005,Tuesday,2016-02-09,20:15:00,21:30:00,North Shore Female Peewee A1,Tri Cities Female Peewee A1,Harry Jerome Rec Centre,Peewee,Flight 1,Playoffs Rep,North Shore Female,
MP9002,Tuesday,2016-02-09,21:15:00,22:30:00,Vancouver Girls Midget A1,Surrey Female Midget A1,Killarney Community Centre,Midget,Flight 1,Playoffs Rep,Vancouver Girls,
AP9000,Wednesday,2016-02-10,18:00:00,19:15:00,Tri Cities Female Atom C1,Surrey Female Atom C1,Planet Ice Coquitlam 4 Saturn,Atom,Black Group,Playoffs C Leagues,Tri Cities Female,
AP9801,Wednesday,2016-02-10,18:30:00,19:45:00,Richmond Female Atom C3,Abbotsford Female Atom C2,Richmond Ice Centre Coliseum,Atom,Red Group,Playoffs C Leagues,Richmond Female,
PP9311,Wednesday,2016-02-10,18:45:00,20:00:00,South Delta Female Peewee C1,Meadow Ridge Female Peewee C1,Tilbury Ice,Peewee,Black Group,Playoffs C Leagues,South Delta,
MP9006,Wednesday,2016-02-10,20:15:00,21:30:00,Abbotsford Female Midget A1,North Shore Female Midget A1,Matsqui Recreation Centre,Midget,Flight 1,Playoffs Rep,Abbotsford Female,
PP9003,Thursday,2016-02-11,18:00:00,19:15:00,Surrey Female Peewee A1,Richmond Female Peewee A1,Surrey Sport & Leisure Centre Arena 1 Blue,Peewee,Flight 1,Playoffs Rep,Surrey Female,
AP9001,Thursday,2016-02-11,18:15:00,19:30:00,North Shore Female Atom C1,Richmond Female Atom C1,Harry Jerome Rec Centre,Atom,Black Group,Playoffs C Leagues,North Shore Female,
PP9302,Thursday,2016-02-11,18:15:00,19:30:00,North Shore Winter Club Female Peewee C1,Richmond Female Peewee C1,North Shore Winter Club,Peewee,Black Group,Playoffs C Leagues,North Shore Winter Club,
PP9705,Thursday,2016-02-11,18:15:00,19:30:00,Meadow Ridge Female Peewee C2,Vancouver Girls Peewee C2,Planet Ice Maple Ridge 2,Peewee,Red Group,Playoffs C Leagues,Meadow Ridge Female,
MP9805,Thursday,2016-02-11,18:30:00,19:45:00,Abbotsford Female Midget C2,Tri Cities Female Midget C3,MSA Arena - Abbotsford,Midget,Red Group,Playoffs C Leagues,Abbotsford Female,
BP9010,Thursday,2016-02-11,19:30:00,20:45:00,Surrey Female Bantam A1,Tri Cities Female Bantam A1,Surrey Sport & Leisure Centre Arena 1 Blue,Bantam,Flight 1,Playoffs Rep,Surrey Female,
PP9501,Thursday,2016-02-11,19:30:00,21:00:00,Langley Girls Peewee C2,Langley Girls Peewee C1,Langley Sportsplex 2,Peewee,Blue Group,Playoffs C Leagues,Langley Girls,
MP9404,Thursday,2016-02-11,19:45:00,21:00:00,North Shore Winter Club Female Midget C1,South Delta Female Midget C1,North Shore Winter Club,Midget,Blue Group,Playoffs C Leagues,North Shore Winter Club,
MP9405,Thursday,2016-02-11,19:45:00,21:00:00,Meadow Ridge Female Midget C1,Richmond Female Midget C1,Planet Ice Maple Ridge 2,Midget,Blue Group,Playoffs C Leagues,Meadow Ridge Female,
MP9605,Thursday,2016-02-11,19:45:00,21:00:00,Vancouver Girls Midget C2,Vancouver Girls Midget C1,PNE Agrodome,Midget,Purple Group,Playoffs C Leagues,Vancouver Girls,
PP9303,Thursday,2016-02-11,19:45:00,21:00:00,North Shore Female Peewee C1,South Delta Female Peewee C1,Harry Jerome Rec Centre,Peewee,Black Group,Playoffs C Leagues,North Shore Female,
BP9301,Thursday,2016-02-11,20:00:00,21:15:00,South Delta Female Bantam C1,Meadow Ridge Female Bantam C1,Tilbury Ice,Bantam,Black Group,Playoffs C Leagues,South Delta,
JP9003,Thursday,2016-02-11,21:45:00,23:00:00,Tri Cities Female Juvenile C1,Surrey Female Juvenile C1,Port Coquitlam Blue,Juvenile,Black Group,Playoffs C Leagues,Tri Cities Female,
MP9809,Friday,2016-02-12,18:15:00,19:30:00,Richmond Female Midget C2,Abbotsford Female Midget C2,Richmond Ice Centre Igloo,Midget,Red Group,Playoffs C Leagues,Richmond Female,
AP9802,Friday,2016-02-12,18:45:00,20:00:00,Tri Cities Female Atom C2,North Shore Female Atom C3,Port Coquitlam Blue,Atom,Red Group,Playoffs C Leagues,Tri Cities Female,
BP9002,Friday,2016-02-12,19:30:00,20:45:00,North Shore Female Bantam A1,Vancouver Girls Bantam A1,Ice Sports North Shore 2 Blue,Bantam,Flight 1,Playoffs Rep,North Shore Female,
BP9302,Friday,2016-02-12,19:45:00,21:15:00,Richmond Female Bantam C1,North Shore Female Bantam C1,Richmond Ice Centre Igloo,Bantam,Black Group,Playoffs C Leagues,Richmond Female,
MP9003,Friday,2016-02-12,19:45:00,21:15:00,Surrey Female Midget A1,Vancouver Girls Midget A1,Surrey Sport & Leisure Centre Arena 3 Green,Midget,Flight 1,Playoffs Rep,Surrey Female,
BP9009,Friday,2016-02-12,20:15:00,21:30:00,Tri Cities Female Bantam A1,Surrey Female Bantam A1,Port Coquitlam Green,Bantam,Flight 1,Playoffs Rep,Tri Cities Female,
BP9005,Friday,2016-02-12,20:30:00,22:00:00,Richmond Female Bantam A1,Abbotsford Female Bantam A1,Minoru Arena Silver Spectrum,Bantam,Flight 1,Playoffs Rep,Richmond Female,
MP9807,Friday,2016-02-12,20:30:00,21:45:00,Tri Cities Female Midget C2,Western Washington Female Midget C1,Coquitlam Recreation,Midget,Red Group,Playoffs C Leagues,Tri Cities Female,
PP9308,Saturday,2016-02-13,09:15:00,10:30:00,North Shore Winter Club Female Peewee C1,North Shore Female Peewee C1,North Shore Winter Club,Peewee,Black Group,Playoffs C Leagues,North Shore Winter Club,
AP9600,Saturday,2016-02-13,11:15:00,12:30:00,Langley Girls Atom C2,Meadow Ridge Female Atom C2,Langley Sportsplex 4,Atom,Orange Group,Playoffs C Leagues,Langley Girls,
MP9606,Saturday,2016-02-13,11:30:00,12:45:00,Vancouver Girls Midget C1,Surrey Female Midget C2,Killarney Community Centre,Midget,Purple Group,Playoffs C Leagues,Vancouver Girls,
PP9707,Saturday,2016-02-13,13:15:00,14:30:00,Richmond Female Peewee C2,North Shore Female Peewee C2,Richmond Ice Centre Pond,Peewee,Red Group,Playoffs C Leagues,Richmond Female,
BP9006,Saturday,2016-02-13,14:15:00,15:30:00,Abbotsford Female Bantam A1,Richmond Female Bantam A1,Abbotsford Centre Ice 1 Blue,Bantam,Flight 1,Playoffs Rep,Abbotsford Female,
AP9401,Saturday,2016-02-13,15:30:00,16:45:00,Surrey Female Atom C2,Richmond Female Atom C2,North Surrey Arena 2,Atom,Purple Group,Playoffs C Leagues,Surrey Female,
BP9506,Saturday,2016-02-13,15:30:00,16:45:00,Western Washington Female Bantam C1,Burnaby Female Bantam C1,Bellingham Sportsplex,Bantam,Blue Group,Playoffs C Leagues,Western Washington Female,
PP9001,Saturday,2016-02-13,16:00:00,17:30:00,Surrey Female Peewee A1,Richmond Female Peewee A1,Surrey Sport & Leisure Centre Arena 3 Green,Peewee,Flight 1,Playoffs Rep,Surrey Female,
AP9803,Saturday,2016-02-13,16:45:00,18:00:00,Vancouver Girls Atom C1,Richmond Female Atom C3,Trout Lake Community Centre,Atom,Red Group,Playoffs C Leagues,Vancouver Girls,
MP9608,Saturday,2016-02-13,16:45:00,18:15:00,Langley Girls Midget C1,North Shore Female Midget C2,George Preston Recreation Centre,Midget,Purple Group,Playoffs C Leagues,Langley Girls,
MP9813,Saturday,2016-02-13,17:00:00,18:30:00,Western Washington Female Midget C1,Tri Cities Female Midget C3,Bellingham Sportsplex,Midget,Red Group,Playoffs C Leagues,Western Washington Female,
AP9209,Saturday,2016-02-13,17:45:00,19:00:00,Abbotsford Female Atom C1,Langley Girls Atom C1,Matsqui Recreation Centre,Atom,Blue Group,Playoffs C Leagues,Abbotsford Female,
PP9006,Saturday,2016-02-13,17:45:00,19:00:00,Tri Cities Female Peewee A1,North Shore Female Peewee A1,Coquitlam Recreation,Peewee,Flight 1,Playoffs Rep,Tri Cities Female,
BP9704,Saturday,2016-02-13,19:15:00,20:30:00,Tri Cities Female Bantam C2,North Shore Female Bantam C2,Port Moody 2,Bantam,Red Group,Playoffs C Leagues,Tri Cities Female,
BP9011,Saturday,2016-02-13,19:15:00,20:30:00,Tri Cities Female Bantam A1,Surrey Female Bantam A1,Coquitlam Main,Bantam,Flight 1,Playoffs Rep,Tri Cities Female,
BP9303,Saturday,2016-02-13,19:45:00,21:00:00,Meadow Ridge Female Bantam C1,Tri Cities Female Bantam C1,Pitt Meadows Arena Fiat Red,Bantam,Black Group,Playoffs C Leagues,Meadow Ridge Female,
MP9204,Saturday,2016-02-13,20:45:00,22:00:00,Tri Cities Female Midget C1,North Shore Female Midget C1,Coquitlam Main,Midget,Black Group,Playoffs C Leagues,Tri Cities Female,
PP9717,Sunday,2016-02-14,08:00:00,09:15:00,Richmond Female Peewee C2,Vancouver Girls Peewee C2,Richmond Ice Centre Coliseum,Peewee,Red Group,Playoffs C Leagues,Richmond Female,
MP9617,Sunday,2016-02-14,09:00:00,10:15:00,Surrey Female Midget C2,Vancouver Girls Midget C1,Surrey Sport & Leisure Centre Arena 3 Green,Midget,Purple Group,Playoffs C Leagues,Surrey Female,
MP9808,Sunday,2016-02-14,09:45:00,11:00:00,Western Washington Female Midget C1,Richmond Female Midget C2,Bellingham Sportsplex,Midget,Red Group,Playoffs C Leagues,Western Washington Female,
BP9705,Sunday,2016-02-14,10:30:00,11:45:00,Surrey Female Bantam C1,Vancouver Girls Bantam C1,Surrey Sport & Leisure Centre Arena 3 Green,Bantam,Red Group,Playoffs C Leagues,Surrey Female,
AP9203,Sunday,2016-02-14,11:00:00,12:15:00,Abbotsford Female Atom C1,Burnaby Female Atom C1,MSA Arena - Abbotsford,Atom,Blue Group,Playoffs C Leagues,Abbotsford Female,
AP9601,Sunday,2016-02-14,11:15:00,12:30:00,Meadow Ridge Female Atom C2,South Delta Female Atom C1,Pitt Meadows Arena Volkswagen Blue,Atom,Orange Group,Playoffs C Leagues,Meadow Ridge Female,
MP9609,Sunday,2016-02-14,11:30:00,12:45:00,North Shore Female Midget C2,Vancouver Girls Midget C2,Ice Sports North Shore 2 Blue,Midget,Purple Group,Playoffs C Leagues,North Shore Female,
AP9809,Sunday,2016-02-14,12:45:00,14:00:00,Vancouver Girls Atom C1,Tri Cities Female Atom C2,Richmond Olympic Oval North,Atom,Red Group,Playoffs C Leagues,Vancouver Girls,
PP9007,Sunday,2016-02-14,12:45:00,14:00:00,North Shore Female Peewee A1,Tri Cities Female Peewee A1,Ice Sports North Shore 3 Green,Peewee,Flight 1,Playoffs Rep,North Shore Female,
BP9304,Sunday,2016-02-14,13:00:00,14:15:00,North Shore Female Bantam C1,South Delta Female Bantam C1,Ice Sports North Shore 2 Blue,Bantam,Black Group,Playoffs C Leagues,North Shore Female,
PP9002,Sunday,2016-02-14,13:30:00,15:00:00,Richmond Female Peewee A1,Surrey Female Peewee A1,Richmond Ice Centre Coliseum,Peewee,Flight 1,Playoffs Rep,Richmond Female,
BP9504,Sunday,2016-02-14,14:30:00,16:00:00,Langley Girls Bantam C1,Western Washington Female Bantam C1,Langley Twin Rinks 2,Bantam,Blue Group,Playoffs C Leagues,Langley Girls,
MP9205,Sunday,2016-02-14,14:30:00,16:00:00,Surrey Female Midget C1,Abbotsford Female Midget C1,Surrey Sport & Leisure Centre Arena 2 Purple,Midget,Black Group,Playoffs C Leagues,Surrey Female,
BP9007,Sunday,2016-02-14,15:15:00,16:45:00,Richmond Female Bantam A1,Abbotsford Female Bantam A1,Richmond Ice Centre Coliseum,Bantam,Flight 1,Playoffs Rep,Richmond Female,
PP9011,Sunday,2016-02-14,16:00:00,17:15:00,Vancouver Girls Peewee A1,Langley Girls Peewee A1,Hillcrest Centre Arena,Peewee,Flight 1,Playoffs Rep,Vancouver Girls,
PP9503,Sunday,2016-02-14,16:15:00,17:45:00,Langley Girls Peewee C1,Burnaby Female Peewee C1,Langley Twin Rinks 2,Peewee,Blue Group,Playoffs C Leagues,Langley Girls,
PP9709,Sunday,2016-02-14,16:30:00,17:45:00,Tri Cities Female Peewee C2,Meadow Ridge Female Peewee C2,Planet Ice Coquitlam 3 Venus,Peewee,Red Group,Playoffs C Leagues,Tri Cities Female,
PP9504,Sunday,2016-02-14,16:45:00,18:00:00,Abbotsford Female Peewee C1,Vancouver Girls Peewee C1,Abbotsford Centre Ice 1 Blue,Peewee,Blue Group,Playoffs C Leagues,Abbotsford Female,
MP9007,Sunday,2016-02-14,17:15:00,18:45:00,North Shore Female Midget A1,Abbotsford Female Midget A1,West Vancouver Ice Arena,Midget,Flight 1,Playoffs Rep,North Shore Female,
BP9003,Sunday,2016-02-14,17:30:00,18:45:00,Vancouver Girls Bantam A1,North Shore Female Bantam A1,Hillcrest Centre Arena,Bantam,Flight 1,Playoffs Rep,Vancouver Girls,
AP9404,Sunday,2016-02-14,17:45:00,19:00:00,Richmond Female Atom C2,Surrey Female Atom C2,Richmond Ice Centre Forum,Atom,Purple Group,Playoffs C Leagues,Richmond Female,
PP9305,Sunday,2016-02-14,18:45:00,20:00:00,South Delta Female Peewee C1,Tri Cities Female Peewee C1,Tilbury Ice,Peewee,Black Group,Playoffs C Leagues,South Delta,
BP9505,Sunday,2016-02-14,19:00:00,20:30:00,Burnaby Female Bantam C1,Abbotsford Female Bantam C1,Kensington Arena,Bantam,Blue Group,Playoffs C Leagues,Burnaby,
JP9001,Sunday,2016-02-14,19:45:00,21:15:00,Surrey Female Juvenile C1,North Shore Winter Club Female Juvenile C1,Surrey Sport & Leisure Centre Arena 1 Blue,Juvenile,Black Group,Playoffs C Leagues,Surrey Female,
PP9306,Monday,2016-02-15,18:45:00,20:15:00,Meadow Ridge Female Peewee C1,Tri Cities Female Peewee C1,Planet Ice Maple Ridge 1 Cam Neely,Peewee,Black Group,Playoffs C Leagues,Meadow Ridge Female,
BP9502,Monday,2016-02-15,19:00:00,20:15:00,Langley Girls Bantam C1,Burnaby Female Bantam C1,Langley Twin Rinks 1,Bantam,Blue Group,Playoffs C Leagues,Langley Girls,
MP9406,Monday,2016-02-15,19:45:00,21:15:00,South Delta Female Midget C1,Meadow Ridge Female Midget C1,Tilbury Ice,Midget,Blue Group,Playoffs C Leagues,South Delta,
PP9307,Tuesday,2016-02-16,18:45:00,20:00:00,Tri Cities Female Peewee C1,North Shore Winter Club Female Peewee C1,Planet Ice Coquitlam 1 Mars,Peewee,Black Group,Playoffs C Leagues,Tri Cities Female,
BP9305,Tuesday,2016-02-16,19:45:00,21:00:00,Tri Cities Female Bantam C1,South Delta Female Bantam C1,Port Moody 2,Bantam,Black Group,Playoffs C Leagues,Tri Cities Female,
PP9506,Tuesday,2016-02-16,19:45:00,21:00:00,Vancouver Girls Peewee C1,Langley Girls Peewee C2,Killarney Community Centre,Peewee,Blue Group,Playoffs C Leagues,Vancouver Girls,
MP9206,Tuesday,2016-02-16,20:15:00,21:30:00,North Shore Female Midget C1,Surrey Female Midget C1,Harry Jerome Rec Centre,Midget,Black Group,Playoffs C Leagues,North Shore Female,
MP9816,Wednesday,2016-02-17,18:00:00,19:15:00,Tri Cities Female Midget C3,Abbotsford Female Midget C2,Planet Ice Coquitlam 4 Saturn,Midget,Red Group,Playoffs C Leagues,Tri Cities Female,
PP9304,Wednesday,2016-02-17,18:30:00,19:45:00,Richmond Female Peewee C1,Meadow Ridge Female Peewee C1,Richmond Ice Centre Coliseum,Peewee,Black Group,Playoffs C Leagues,Richmond Female,
AP9602,Wednesday,2016-02-17,18:45:00,20:00:00,South Delta Female Atom C1,Langley Girls Atom C2,Tilbury Ice,Atom,Orange Group,Playoffs C Leagues,South Delta,
AP9403,Thursday,2016-02-18,18:00:00,19:15:00,Surrey Female Atom C2,North Shore Female Atom C2,Surrey Sport & Leisure Centre Arena 1 Blue,Atom,Purple Group,Playoffs C Leagues,Surrey Female,
BP9700,Thursday,2016-02-18,18:15:00,19:30:00,North Shore Female Bantam C2,Vancouver Girls Bantam C1,Harry Jerome Rec Centre,Bantam,Red Group,Playoffs C Leagues,North Shore Female,
PP9710,Thursday,2016-02-18,18:15:00,19:30:00,Meadow Ridge Female Peewee C2,North Shore Female Peewee C2,Planet Ice Maple Ridge 2,Peewee,Red Group,Playoffs C Leagues,Meadow Ridge Female,
BP9501,Thursday,2016-02-18,18:30:00,19:45:00,Abbotsford Female Bantam C1,Langley Girls Bantam C1,MSA Arena - Abbotsford,Bantam,Blue Group,Playoffs C Leagues,Abbotsford Female,
PP9507,Thursday,2016-02-18,19:30:00,21:00:00,Langley Girls Peewee C2,Surrey Female Peewee C1,Langley Sportsplex 2,Peewee,Blue Group,Playoffs C Leagues,Langley Girls,
MP9403,Thursday,2016-02-18,19:45:00,21:00:00,Meadow Ridge Female Midget C1,South Delta Female Midget C1,Planet Ice Maple Ridge 2,Midget,Blue Group,Playoffs C Leagues,Meadow Ridge Female,
MP9610,Thursday,2016-02-18,19:45:00,21:00:00,Vancouver Girls Midget C2,Langley Girls Midget C1,PNE Agrodome,Midget,Purple Group,Playoffs C Leagues,Vancouver Girls,
PP9309,Thursday,2016-02-18,19:45:00,21:00:00,North Shore Female Peewee C1,Richmond Female Peewee C1,Harry Jerome Rec Centre,Peewee,Black Group,Playoffs C Leagues,North Shore Female,
BP9306,Thursday,2016-02-18,20:00:00,21:15:00,South Delta Female Bantam C1,Richmond Female Bantam C1,Tilbury Ice,Bantam,Black Group,Playoffs C Leagues,South Delta,
JP9004,Thursday,2016-02-18,21:15:00,22:30:00,North Shore Winter Club Female Juvenile C1,Tri Cities Female Juvenile C1,North Shore Winter Club,Juvenile,Black Group,Playoffs C Leagues,North Shore Winter Club,
AP9003,Friday,2016-02-19,18:15:00,19:30:00,Richmond Female Atom C1,Tri Cities Female Atom C1,Richmond Ice Centre Igloo,Atom,Black Group,Playoffs C Leagues,Richmond Female,
BP9307,Friday,2016-02-19,19:45:00,21:15:00,Richmond Female Bantam C1,Meadow Ridge Female Bantam C1,Richmond Ice Centre Igloo,Bantam,Black Group,Playoffs C Leagues,Richmond Female,
BP9706,Friday,2016-02-19,20:00:00,21:15:00,North Shore Female Bantam C2,Surrey Female Bantam C1,West Vancouver Ice Arena,Bantam,Red Group,Playoffs C Leagues,North Shore Female,
MP9811,Friday,2016-02-19,20:15:00,21:30:00,Tri Cities Female Midget C3,Richmond Female Midget C2,Port Coquitlam Green,Midget,Red Group,Playoffs C Leagues,Tri Cities Female,
MP9812,Friday,2016-02-19,20:30:00,21:45:00,Tri Cities Female Midget C2,Abbotsford Female Midget C2,Coquitlam Recreation,Midget,Red Group,Playoffs C Leagues,Tri Cities Female,
