Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
PP9008,Tuesday,2016-02-02,19:15:00,20:30:00,Langley Girls Peewee A1,Vancouver Girls Peewee A1,Langley Sportsplex 1,Peewee,Flight 1,Playoffs Rep,Langley Girls,
MP9000,Tuesday,2016-02-02,21:15:00,22:30:00,Vancouver Girls Midget A1,Surrey Female Midget A1,Killarney Community Centre,Midget,Flight 1,Playoffs Rep,Vancouver Girls,
PP9004,Wednesday,2016-02-03,18:00:00,19:15:00,Tri Cities Female Peewee A1,North Shore Female Peewee A1,Planet Ice Coquitlam 4 Saturn,Peewee,Flight 1,Playoffs Rep,Tri Cities Female,
PP9000,Wednesday,2016-02-03,18:30:00,19:45:00,Richmond Female Peewee A1,Surrey Female Peewee A1,Richmond Ice Centre Coliseum,Peewee,Flight 1,Playoffs Rep,Richmond Female,
MP9004,Wednesday,2016-02-03,20:15:00,21:30:00,Abbotsford Female Midget A1,North Shore Female Midget A1,Matsqui Recreation Centre,Midget,Flight 1,Playoffs Rep,Abbotsford Female,
MP9001,Thursday,2016-02-04,18:00:00,19:15:00,Surrey Female Midget A1,Vancouver Girls Midget A1,Surrey Sport & Leisure Centre Arena 1 Blue,Midget,Flight 1,Playoffs Rep,Surrey Female,
PP9700,Thursday,2016-02-04,18:15:00,19:30:00,Meadow Ridge Female Peewee C2,Richmond Female Peewee C2,Planet Ice Maple Ridge 2,Peewee,Red Group,Playoffs C Leagues,Meadow Ridge Female,
PP9708,Thursday,2016-02-04,18:15:00,19:30:00,North Shore Female Peewee C2,Tri Cities Female Peewee C2,Harry Jerome Rec Centre,Peewee,Red Group,Playoffs C Leagues,North Shore Female,
MP9800,Thursday,2016-02-04,18:30:00,19:45:00,Abbotsford Female Midget C2,Tri Cities Female Midget C2,MSA Arena - Abbotsford,Midget,Red Group,Playoffs C Leagues,Abbotsford Female,
MP9600,Thursday,2016-02-04,19:45:00,21:00:00,Vancouver Girls Midget C2,Surrey Female Midget C2,PNE Agrodome,Midget,Purple Group,Playoffs C Leagues,Vancouver Girls,
JP9000,Thursday,2016-02-04,21:45:00,23:00:00,Abbotsford Female Juvenile C1,Tri Cities Female Juvenile C1,Abbotsford Centre Ice 1 Blue,Juvenile,Black Group,Playoffs C Leagues,Abbotsford Female,
BP9000,Friday,2016-02-05,19:30:00,20:45:00,North Shore Female Bantam A1,Vancouver Girls Bantam A1,Ice Sports North Shore 2 Blue,Bantam,Flight 1,Playoffs Rep,North Shore Female,
MP9200,Friday,2016-02-05,20:00:00,21:15:00,North Shore Female Midget C1,Abbotsford Female Midget C1,West Vancouver Ice Arena,Midget,Black Group,Playoffs C Leagues,North Shore Female,
MP9801,Friday,2016-02-05,20:15:00,21:30:00,Tri Cities Female Midget C3,Western Washington Female Midget C1,Port Coquitlam Green,Midget,Red Group,Playoffs C Leagues,Tri Cities Female,
MP9802,Friday,2016-02-05,20:30:00,21:45:00,Tri Cities Female Midget C2,Richmond Female Midget C2,Coquitlam Recreation,Midget,Red Group,Playoffs C Leagues,Tri Cities Female,
PP9701,Saturday,2016-02-06,08:30:00,09:45:00,Vancouver Girls Peewee C2,North Shore Female Peewee C2,Killarney Community Centre,Peewee,Red Group,Playoffs C Leagues,Vancouver Girls,
AP9208,Saturday,2016-02-06,09:15:00,10:30:00,North Shore Winter Club Female Atom C1,Meadow Ridge Female Atom C1,North Shore Winter Club,Atom,Blue Group,Playoffs C Leagues,North Shore Winter Club,
AP9800,Saturday,2016-02-06,09:30:00,10:45:00,North Shore Female Atom C3,Vancouver Girls Atom C1,Ice Sports North Shore 1 Red,Atom,Red Group,Playoffs C Leagues,North Shore Female,
BP9701,Saturday,2016-02-06,10:00:00,11:15:00,Vancouver Girls Bantam C1,Tri Cities Female Bantam C2,Killarney Community Centre,Bantam,Red Group,Playoffs C Leagues,Vancouver Girls,
MP9601,Saturday,2016-02-06,11:30:00,12:45:00,Vancouver Girls Midget C1,Langley Girls Midget C1,Killarney Community Centre,Midget,Purple Group,Playoffs C Leagues,Vancouver Girls,
MP9810,Saturday,2016-02-06,11:30:00,12:45:00,Abbotsford Female Midget C2,Western Washington Female Midget C1,Abbotsford Recreation Centre,Midget,Red Group,Playoffs C Leagues,Abbotsford Female,
PP9702,Saturday,2016-02-06,13:15:00,14:30:00,Richmond Female Peewee C2,Tri Cities Female Peewee C2,Richmond Ice Centre Pond,Peewee,Red Group,Playoffs C Leagues,Richmond Female,
MP9602,Saturday,2016-02-06,16:00:00,17:30:00,Surrey Female Midget C2,North Shore Female Midget C2,Surrey Sport & Leisure Centre Arena 3 Green,Midget,Purple Group,Playoffs C Leagues,Surrey Female,
MP9818,Saturday,2016-02-06,17:00:00,18:30:00,Western Washington Female Midget C1,Tri Cities Female Midget C2,Bellingham Sportsplex,Midget,Red Group,Playoffs C Leagues,Western Washington Female,
MP9202,Saturday,2016-02-06,20:45:00,22:00:00,Tri Cities Female Midget C1,Surrey Female Midget C1,Coquitlam Main,Midget,Black Group,Playoffs C Leagues,Tri Cities Female,
AP9200,Sunday,2016-02-07,09:45:00,11:00:00,Meadow Ridge Female Atom C1,Abbotsford Female Atom C1,Pitt Meadows Arena Volkswagen Blue,Atom,Blue Group,Playoffs C Leagues,Meadow Ridge Female,
MP9803,Sunday,2016-02-07,09:45:00,11:00:00,Western Washington Female Midget C1,Abbotsford Female Midget C2,Bellingham Sportsplex,Midget,Red Group,Playoffs C Leagues,Western Washington Female,
MP9604,Sunday,2016-02-07,11:30:00,12:45:00,North Shore Female Midget C2,Vancouver Girls Midget C1,Ice Sports North Shore 2 Blue,Midget,Purple Group,Playoffs C Leagues,North Shore Female,
PP9703,Sunday,2016-02-07,12:45:00,14:00:00,North Shore Female Peewee C2,Meadow Ridge Female Peewee C2,Ice Sports North Shore 3 Green,Peewee,Red Group,Playoffs C Leagues,North Shore Female,
MP9203,Sunday,2016-02-07,14:30:00,16:00:00,Surrey Female Midget C1,North Shore Female Midget C1,Surrey Sport & Leisure Centre Arena 2 Purple,Midget,Black Group,Playoffs C Leagues,Surrey Female,
MP9603,Sunday,2016-02-07,14:30:00,16:00:00,Langley Girls Midget C1,Vancouver Girls Midget C2,Langley Twin Rinks 2,Midget,Purple Group,Playoffs C Leagues,Langley Girls,
MP9804,Sunday,2016-02-07,16:00:00,17:30:00,Richmond Female Midget C2,Tri Cities Female Midget C3,Richmond Ice Centre Forum,Midget,Red Group,Playoffs C Leagues,Richmond Female,
PP9009,Sunday,2016-02-07,16:00:00,17:15:00,Vancouver Girls Peewee A1,Langley Girls Peewee A1,Hillcrest Centre Arena,Peewee,Flight 1,Playoffs Rep,Vancouver Girls,
AP9201,Sunday,2016-02-07,16:15:00,17:15:00,Burnaby Female Atom C1,North Shore Winter Club Female Atom C1,Kensington Arena,Atom,Blue Group,Playoffs C Leagues,Burnaby,
