Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
TL9026,Sunday,2016-02-07,08:00:00,09:00:00,Richmond Female Tyke C1,Meadow Ridge Female Tyke C1,Richmond Ice Centre Igloo,Tyke,Black Group,League,Richmond Female,
TL9027,Sunday,2016-02-07,08:00:00,09:00:00,Richmond Female Tyke C2,North Shore Winter Club Female Tyke C1,Richmond Ice Centre Igloo,Tyke,Black Group,League,Richmond Female,
NL9544,Sunday,2016-02-07,08:45:00,10:00:00,North Shore Female Novice C1,Richmond Female Novice C2,Ice Sports North Shore 2 Blue,Novice,Red Group,League,North Shore Female,
NL9545,Sunday,2016-02-07,09:15:00,10:15:00,Richmond Female Novice C1,Burnaby Female Novice C1,Richmond Ice Centre Igloo,Novice,Red Group,League,Richmond Female,
NL9040,Sunday,2016-02-07,15:00:00,16:15:00,Tri Cities Female Novice C1,Vancouver Girls Novice C1,Planet Ice Coquitlam 3 Venus,Novice,Black Group,League,Tri Cities Female,
NL9041,Saturday,2016-02-13,08:30:00,09:30:00,Surrey Female Novice C1,North Shore Winter Club Female Novice C1,Excellent Ice 2 Blue,Novice,Black Group,League,Surrey Female,
TL9031,Saturday,2016-02-13,08:30:00,09:30:00,Meadow Ridge Female Tyke C1,Tri Cities Female Tyke C2,Planet Ice Maple Ridge 2,Tyke,Black Group,League,Meadow Ridge Female,
NL9547,Saturday,2016-02-13,09:00:00,10:15:00,Langley Girls Novice C1,North Shore Female Novice C1,Langley Sportsplex 1,Novice,Red Group,League,Langley Girls,
NL9042,Saturday,2016-02-13,09:15:00,10:15:00,Vancouver Girls Novice C1,Surrey Female Novice C2,Burnaby Winter Club,Novice,Black Group,League,Vancouver Girls,
TL9028,Saturday,2016-02-13,15:15:00,16:15:00,North Shore Winter Club Female Tyke C1,Tri Cities Female Tyke C1,North Shore Winter Club,Tyke,Black Group,League,North Shore Winter Club,
NL9043,Saturday,2016-02-13,18:00:00,19:00:00,Vancouver Girls Novice C3,Tri Cities Female Novice C1,Burnaby Winter Club,Novice,Black Group,League,Vancouver Girls,
NL9548,Sunday,2016-02-14,08:30:00,09:30:00,Meadow Ridge Female Novice C1,Vancouver Girls Novice C2,Pitt Meadows Arena Volkswagen Blue,Novice,Red Group,League,Meadow Ridge Female,
NL9549,Sunday,2016-02-14,09:15:00,10:15:00,Richmond Female Novice C1,Abbotsford Female Novice C1,Richmond Ice Centre Igloo,Novice,Red Group,League,Richmond Female,
TL9030,Sunday,2016-02-14,09:15:00,10:30:00,North Shore Female Tyke C3,Abbotsford Female Tyke C1,Ice Sports North Shore 1 Red,Tyke,Black Group,League,North Shore Female,
TL9029,Sunday,2016-02-14,13:30:00,14:30:00,Surrey Female Tyke C1,Richmond Female Tyke C2,Excellent Ice 1 Red,Tyke,Black Group,League,Surrey Female,
NL9044,Sunday,2016-02-14,15:00:00,16:15:00,Tri Cities Female Novice C2,North Shore Female Novice C2,Planet Ice Coquitlam 3 Venus,Novice,Black Group,League,Tri Cities Female,
NL9550,Sunday,2016-02-14,15:00:00,16:00:00,Burnaby Female Novice C1,Richmond Female Novice C2,Kensington Arena,Novice,Red Group,League,Burnaby,
TL9032,Friday,2016-02-19,17:00:00,18:00:00,Vancouver Girls Tyke C1,Meadow Ridge Female Tyke C1,Killarney Community Centre,Tyke,Black Group,League,Vancouver Girls,
TL9033,Friday,2016-02-19,17:00:00,18:00:00,Vancouver Girls Tyke C2,Richmond Female Tyke C1,Killarney Community Centre,Tyke,Black Group,League,Vancouver Girls,
NL9045,Saturday,2016-02-20,08:30:00,09:30:00,Surrey Female Novice C2,Vancouver Girls Novice C3,Excellent Ice 2 Blue,Novice,Black Group,League,Surrey Female,
NL9551,Saturday,2016-02-20,09:15:00,10:15:00,Vancouver Girls Novice C2,Richmond Female Novice C1,Burnaby Winter Club,Novice,Red Group,League,Vancouver Girls,
NL9046,Saturday,2016-02-20,11:00:00,12:00:00,North Shore Winter Club Female Novice C1,Vancouver Girls Novice C1,North Shore Winter Club,Novice,Black Group,League,North Shore Winter Club,
NL9047,Sunday,2016-02-21,08:45:00,10:00:00,North Shore Female Novice C2,Surrey Female Novice C1,Ice Sports North Shore 2 Blue,Novice,Black Group,League,North Shore Female,
NL9553,Sunday,2016-02-21,09:15:00,10:15:00,Richmond Female Novice C2,Langley Girls Novice C1,Richmond Ice Centre Igloo,Novice,Red Group,League,Richmond Female,
NL9554,Sunday,2016-02-21,09:45:00,10:45:00,Abbotsford Female Novice C1,Burnaby Female Novice C1,MSA Arena - Abbotsford,Novice,Red Group,League,Abbotsford Female,
TL9034,Sunday,2016-02-21,09:45:00,10:45:00,Abbotsford Female Tyke C1,Vancouver Girls Tyke C3,MSA Arena - Abbotsford,Tyke,Black Group,League,Abbotsford Female,
NL9048,Sunday,2016-02-21,15:00:00,16:15:00,Tri Cities Female Novice C1,Tri Cities Female Novice C2,Planet Ice Coquitlam 3 Venus,Novice,Black Group,League,Tri Cities Female,
TL9035,Sunday,2016-02-28,08:00:00,09:00:00,Richmond Female Tyke C1,Tri Cities Female Tyke C1,Richmond Ice Centre Igloo,Tyke,Black Group,League,Richmond Female,
TL9036,Sunday,2016-02-28,08:00:00,09:00:00,Richmond Female Tyke C2,Tri Cities Female Tyke C2,Richmond Ice Centre Igloo,Tyke,Black Group,League,Richmond Female,
TL9037,Friday,2016-03-04,17:00:00,18:00:00,Vancouver Girls Tyke C3,North Shore Female Tyke C1,Killarney Community Centre,Tyke,Black Group,League,Vancouver Girls,
TL9039,Saturday,2016-03-05,08:30:00,09:30:00,Meadow Ridge Female Tyke C1,North Shore Female Tyke C3,Planet Ice Maple Ridge 2,Tyke,Black Group,League,Meadow Ridge Female,
TL9038,Sunday,2016-03-06,09:45:00,10:45:00,Abbotsford Female Tyke C1,North Shore Female Tyke C1,MSA Arena - Abbotsford,Tyke,Black Group,League,Abbotsford Female,
TL9040,Sunday,2016-03-13,08:00:00,09:00:00,Richmond Female Tyke C1,Surrey Female Tyke C1,Richmond Ice Centre Igloo,Tyke,Black Group,League,Richmond Female,
TL9041,Sunday,2016-03-13,08:00:00,09:00:00,Richmond Female Tyke C2,North Shore Female Tyke C2,Richmond Ice Centre Igloo,Tyke,Black Group,League,Richmond Female,
NL9022,,,,,Vancouver Girls Novice C1,North Shore Female Novice C2,,Novice,Black Group,League,Vancouver Girls,
NL9546,,,,,Abbotsford Female Novice C1,Meadow Ridge Female Novice C1,,Novice,Red Group,League,Abbotsford Female,
NL9552,,,,,North Shore Female Novice C1,Meadow Ridge Female Novice C1,,Novice,Red Group,League,North Shore Female,
