Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
MQ9306,Friday,2015-10-09,21:30:00,22:45:00,Surrey Female Midget C1,North Shore Female Midget C1,Surrey Sport & Leisure Centre Arena 3 Green,Midget,Black Group,Balancing,Surrey Female
AQ9003,Saturday,2015-10-10,09:00:00,10:15:00,Langley Girls Atom C1,Richmond Female Atom C1,Langley Sportsplex 1,Atom,Black Group,Balancing,Langley Girls
PQ9309,Tuesday,2015-10-13,18:45:00,20:00:00,Tri Cities Female Peewee C1,North Shore Female Peewee C1,Planet Ice Coquitlam 1 Mars,Peewee,Black Group,Balancing,Tri Cities Female
PQ9006,Tuesday,2015-10-13,19:15:00,20:30:00,Langley Girls Peewee A1,Surrey Female Peewee A1,Langley Sportsplex 1,Peewee,Tier 1,Placement,Langley Girls
BQ9307,Tuesday,2015-10-13,19:45:00,21:00:00,Tri Cities Female Bantam C1,Vancouver Girls Bantam C1,Port Moody 2,Bantam,Black Group,Balancing,Tri Cities Female
PQ9709,Tuesday,2015-10-13,19:45:00,21:00:00,Vancouver Girls Peewee C1,Vancouver Girls Peewee C2,Killarney Community Centre,Peewee,Red Group,Balancing,Vancouver Girls
MQ9310,Tuesday,2015-10-13,20:15:00,21:30:00,North Shore Female Midget C1,Meadow Ridge Female Midget C1,Harry Jerome Rec Centre,Midget,Black Group,Balancing,North Shore Female
MQ9311,Tuesday,2015-10-13,20:45:00,22:15:00,Abbotsford Female Midget C1,North Shore Winter Club Female Midget C1,Abbotsford Centre Arena,Midget,Black Group,Balancing,Abbotsford Female
MQ9006,Tuesday,2015-10-13,21:15:00,22:30:00,Vancouver Girls Midget A1,Abbotsford Female Midget A1,Killarney Community Centre,Midget,Tier 1,Placement,Vancouver Girls
AQ9404,Wednesday,2015-10-14,18:00:00,19:15:00,Tri Cities Female Atom C2,Abbotsford Female Atom C2,Planet Ice Coquitlam 4 Saturn,Atom,Red Group,Balancing,Tri Cities Female
PQ9312,Wednesday,2015-10-14,18:30:00,19:45:00,Richmond Female Peewee C1,Burnaby Female Peewee C1,Richmond Ice Centre Coliseum,Peewee,Black Group,Balancing,Richmond Female
MQ9007,Wednesday,2015-10-14,20:15:00,21:30:00,Abbotsford Female Midget A1,Surrey Female Midget A1,Matsqui Recreation Centre,Midget,Tier 1,Placement,Abbotsford Female
MQ9330,Thursday,2015-10-15,18:15:00,19:30:00,North Shore Female Midget C1,Abbotsford Female Midget C1,Harry Jerome Rec Centre,Midget,Black Group,Balancing,North Shore Female
PQ9310,Thursday,2015-10-15,18:15:00,19:30:00,North Shore Winter Club Female Peewee C1,Richmond Female Peewee C1,North Shore Winter Club,Peewee,Black Group,Balancing,North Shore Winter Club
PQ9710,Thursday,2015-10-15,18:15:00,19:30:00,Meadow Ridge Female Peewee C2,Richmond Female Peewee C2,Planet Ice Maple Ridge 2,Peewee,Red Group,Balancing,Meadow Ridge Female
MQ9312,Thursday,2015-10-15,18:30:00,20:00:00,Richmond Female Midget C1,Vancouver Girls Midget C2,Richmond Ice Centre Garage,Midget,Black Group,Balancing,Richmond Female
