Monday,11/16/2015,3:30 PM,4:30 PM,Gardens,OtherSkills,Accelerator,
Monday,11/16/2015,4:45 PM,5:45 PM,Gardens,Practice,Atom C2
Monday,11/16/2015,5:30 PM,6:45 PM,Igloo,Practice,Peewee A1
Monday,11/16/2015,7:45 PM,9:00 PM,OvalSouth,Practice,Juvenile C1
Tuesday,11/17/2015,6:00 AM,7:15 AM,Garage,Practice,Bantam A1
Tuesday,11/17/2015,6:00 PM,7:15 PM,Pond,TeamSkills,Development,BA1/MA1
Tuesday,11/17/2015,8:45 PM,10:15 PM,AbbotsfordCentreArena,Game,League,AbbotsfordFemale Midget C1,RichmondGirls Midget C1,ML9307
Wednesday,11/18/2015,6:00 AM,7:15 AM,Stadium,Practice,Atom C1
Wednesday,11/18/2015,3:30 PM,4:30 PM,Pond,OtherSkills,Accelerator,
Wednesday,11/18/2015,4:45 PM,5:45 PM,Pond,OtherSkills,Development,New Skaters
Wednesday,11/18/2015,5:00 PM,6:15 PM,Coliseum,TeamSkills,Development,PA1/BC1
Wednesday,11/18/2015,6:00 PM,7:15 PM,Pond,Practice,Bantam A1
Wednesday,11/18/2015,6:30 PM,7:45 PM,Coliseum,Game,League,RichmondGirls Midget A1,NorthShoreFemale Midget A1,ML9033
Thursday,11/19/2015,6:00 AM,10:00 PM,Unknown,Tournament,Bantam A1,Kamloops
Thursday,11/19/2015,6:00 AM,10:00 PM,Unknown,Tournament,Midget A1,Kamloops
Thursday,11/19/2015,5:45 PM,7:00 PM,Pond,Practice,Peewee C2
Thursday,11/19/2015,6:15 PM,7:30 PM,PlanetIceMapleRidge2,Game,League,MeadowRidgeFemale Peewee C2,RichmondGirls Peewee C2,PL9705
Thursday,11/19/2015,6:30 PM,8:00 PM,Garage,Practice,Midget C1
Thursday,11/19/2015,7:45 PM,9:00 PM,HarryJerome,Game,League,NorthShoreFemale Peewee C1,RichmondGirls Peewee C1,PL9309
Thursday,11/19/2015,8:00 PM,9:15 PM,Tilbury,Game,League,SouthDeltaFemale Bantam C1,RichmondGirls Bantam C1,BL9307
Friday,11/20/2015,6:00 AM,10:00 PM,Unknown,Tournament,Bantam A1,Kamloops
Friday,11/20/2015,6:00 AM,10:00 PM,Unknown,Tournament,Midget A1,Kamloops
Friday,11/20/2015,6:00 AM,7:15 AM,Coliseum,Practice,Peewee A1
Friday,11/20/2015,4:45 PM,6:00 PM,Igloo,Practice,Peewee C1
Friday,11/20/2015,6:15 PM,7:30 PM,Igloo,Game,League,RichmondGirls Atom C1,TriCitiesFemale Atom C1,AL9003
Friday,11/20/2015,7:45 PM,9:15 PM,Igloo,Game,League,RichmondGirls Bantam C1,AbbotsfordFemale Bantam C1,BL9308
Friday,11/20/2015,8:30 PM,10:00 PM,Silver,Game,League,RichmondGirls Peewee A1,LangleyGirls Peewee A1,PL9034
Saturday,11/21/2015,6:00 AM,10:00 PM,Unknown,Tournament,Bantam A1,Kamloops
Saturday,11/21/2015,6:00 AM,10:00 PM,Unknown,Tournament,Midget A1,Kamloops
Saturday,11/21/2015,7:00 AM,8:00 AM,Stadium,OtherSkills,Goalies,
Saturday,11/21/2015,7:15 AM,8:30 AM,Pond,Available
Saturday,11/21/2015,8:15 AM,9:15 AM,Stadium,TeamSkills,Development,NC1/NC2
Saturday,11/21/2015,8:45 AM,10:00 AM,AbbotsfordARC,Game,League,AbbotsfordFemale Atom C2,RichmondGirls Atom C3,AL9404
Saturday,11/21/2015,9:30 AM,10:45 AM,Coliseum,Game,League,RichmondGirls Atom C2,AbbotsfordFemale Atom C1,AL9206
Saturday,11/21/2015,9:30 AM,10:30 AM,Stadium,TeamSkills,Development,TC1/TC2
Saturday,11/21/2015,11:45 AM,1:00 PM,Pond,Practice,Atom C1
Saturday,11/21/2015,1:15 PM,2:30 PM,Pond,Game,League,RichmondGirls Peewee C2,NorthShoreFemale Peewee C2,PL9706
Saturday,11/21/2015,4:00 PM,5:30 PM,Igloo,Available
Saturday,11/21/2015,5:00 PM,6:00 PM,OvalSouth,Practice,Midget C2
Saturday,11/21/2015,5:45 PM,7:00 PM,Igloo,Practice,Atom C3
Saturday,11/21/2015,6:15 PM,7:15 PM,OvalSouth,Practice,Midget C1
Sunday,11/22/2015,6:00 AM,10:00 PM,Unknown,Tournament,Bantam A1,Kamloops
Sunday,11/22/2015,6:00 AM,10:00 PM,Unknown,Tournament,Midget A1,Kamloops
Sunday,11/22/2015,6:30 AM,7:30 AM,Igloo,Available
Sunday,11/22/2015,7:45 AM,9:00 AM,Igloo,Practice,TC1/TC2
Sunday,11/22/2015,8:00 AM,9:15 AM,Coliseum,Practice,Peewee C1
Sunday,11/22/2015,8:15 AM,9:15 AM,OvalSouth,Practice,Bantam C1
Sunday,11/22/2015,9:15 AM,10:15 AM,Igloo,Practice,NC1/NC2
Sunday,11/22/2015,11:30 AM,12:45 PM,IceSportsNorthShoreBlue,Game,League,NorthShoreFemale Midget C2,RichmondGirls Midget C2,ML9710
Sunday,11/22/2015,1:30 PM,3:00 PM,Coliseum,Practice,Peewee A1
Sunday,11/22/2015,3:15 PM,4:45 PM,Coliseum,Available
Sunday,11/22/2015,4:00 PM,5:30 PM,Forum,Practice,Midget C2
Sunday,11/22/2015,5:45 PM,7:00 PM,Forum,Game,League,RichmondGirls Novice C1,VancouverGirls Novice C3,NL9502
Sunday,11/22/2015,6:00 PM,7:15 PM,Silver,Practice,Midget A1
